terrain,arm,seed,hash,occupancy,population,extinct,frozen,plant_births,highest_plant_generation,growth_founder,growth_final,growth_delta,seedinvestment_founder,seedinvestment_final,seedinvestment_delta,waterefficiency_founder,waterefficiency_final,waterefficiency_delta,nutrition_founder,nutrition_final,nutrition_delta,defense_founder,defense_final,defense_delta,dispersal_founder,dispersal_final,dispersal_delta,moisturetolerance_founder,moisturetolerance_final,moisturetolerance_delta,temperaturetolerance_founder,temperaturetolerance_final,temperaturetolerance_delta,nutrientuptake_founder,nutrientuptake_final,nutrientuptake_delta,seedlingresilience_founder,seedlingresilience_final,seedlingresilience_delta,seedproductionrate_founder,seedproductionrate_final,seedproductionrate_delta
flat,contest-off,42,14207061591463181441,0.83333,102,0,0,217,11,0.4,0.44253,0.04253,0.44,0.49575,0.05575,0.48,0.47546,-0.00454,0.52,0.49369,-0.02631,0.56,0.59889,0.03889,0.6,0.6461,0.0461,0.56667,0.50893,-0.05774,0.53333,0.68831,0.15497,0.5,0.47748,-0.02252,0.46667,0.29181,-0.17486,0.43333,0.36662,-0.06671
flat,contest-off,43,12280556938772592915,0.95833,164,0,0,260,15,0.4,0.50188,0.10188,0.44,0.65853,0.21853,0.48,0.63336,0.15336,0.52,0.64114,0.12114,0.56,0.60846,0.04846,0.6,0.75544,0.15544,0.56667,0.69248,0.12581,0.53333,0.23483,-0.2985,0.5,0.35091,-0.14909,0.46667,0.45538,-0.01128,0.43333,0.52122,0.08788
flat,contest-off,44,11078016160157529249,0.83333,81,0,0,235,15,0.4,0.41393,0.01393,0.44,0.57923,0.13923,0.48,0.55681,0.07681,0.52,0.52486,0.00486,0.56,0.61631,0.05631,0.6,0.76246,0.16246,0.56667,0.3006,-0.26607,0.53333,0.25907,-0.27426,0.5,0.37093,-0.12907,0.46667,0.40519,-0.06148,0.43333,0.42895,-0.00438
flat,contest-off,45,3770405676363330562,0.41667,149,0,0,218,15,0.4,0.42431,0.02431,0.44,0.38379,-0.05621,0.48,0.4709,-0.0091,0.52,0.60852,0.08852,0.56,0.45261,-0.10739,0.6,0.66571,0.06571,0.56667,0.48612,-0.08055,0.53333,0.49305,-0.04028,0.5,0.50319,0.00319,0.46667,0.46848,0.00181,0.43333,0.33609,-0.09724
flat,contest-off,46,13034111164735656476,0.79167,81,0,0,238,12,0.4,0.438,0.038,0.44,0.45384,0.01384,0.48,0.58567,0.10567,0.52,0.58268,0.06268,0.56,0.70812,0.14812,0.6,0.7236,0.1236,0.56667,0.72699,0.16032,0.53333,0.38413,-0.14921,0.5,0.41205,-0.08795,0.46667,0.41162,-0.05504,0.43333,0.37155,-0.06178
flat,contest-off,47,13469062838313710717,0.70833,95,0,0,208,12,0.4,0.41344,0.01344,0.44,0.53912,0.09912,0.48,0.46524,-0.01476,0.52,0.59111,0.07111,0.56,0.50599,-0.05401,0.6,0.61644,0.01644,0.56667,0.49523,-0.07144,0.53333,0.53835,0.00501,0.5,0.50994,0.00994,0.46667,0.49488,0.02822,0.43333,0.32579,-0.10754
flat,contest-off,48,11623709143038896649,0.54167,156,0,0,217,10,0.4,0.35522,-0.04478,0.44,0.28226,-0.15774,0.48,0.43961,-0.04039,0.52,0.51412,-0.00588,0.56,0.45339,-0.10661,0.6,0.57335,-0.02665,0.56667,0.57469,0.00802,0.53333,0.55362,0.02029,0.5,0.47803,-0.02197,0.46667,0.51275,0.04608,0.43333,0.57712,0.14379
flat,contest-off,49,9757576529122152320,0.33333,94,0,0,201,11,0.4,0.44818,0.04818,0.44,0.6836,0.2436,0.48,0.64775,0.16775,0.52,0.65427,0.13427,0.56,0.6333,0.0733,0.6,0.85285,0.25285,0.56667,0.32134,-0.24532,0.53333,0.49118,-0.04215,0.5,0.35701,-0.14299,0.46667,0.3868,-0.07987,0.43333,0.49399,0.06065
flat,contest-off,50,5549594275798667786,0.875,111,0,0,234,15,0.4,0.44339,0.04339,0.44,0.46839,0.02839,0.48,0.49742,0.01742,0.52,0.63056,0.11056,0.56,0.55119,-0.00881,0.6,0.80188,0.20188,0.56667,0.72503,0.15836,0.53333,0.65187,0.11853,0.5,0.1735,-0.3265,0.46667,0.34925,-0.11741,0.43333,0.41188,-0.02145
flat,contest-off,51,9663874746495605138,0.58333,119,0,0,217,14,0.4,0.43388,0.03388,0.44,0.53726,0.09726,0.48,0.48477,0.00477,0.52,0.57579,0.05579,0.56,0.6058,0.0458,0.6,0.72706,0.12706,0.56667,0.77601,0.20934,0.53333,0.3787,-0.15464,0.5,0.4862,-0.0138,0.46667,0.33135,-0.13531,0.43333,0.33721,-0.09612
flat,contest-off,52,10899059972262639145,0.20833,61,0,0,199,11,0.4,0.46387,0.06387,0.44,0.42897,-0.01103,0.48,0.5751,0.0951,0.52,0.60683,0.08683,0.56,0.63875,0.07875,0.6,0.58664,-0.01336,0.56667,0.434,-0.13267,0.53333,0.30844,-0.2249,0.5,0.39781,-0.10219,0.46667,0.41247,-0.0542,0.43333,0.36931,-0.06402
flat,contest-off,53,16576725089257228122,0.875,102,0,0,239,16,0.4,0.44487,0.04487,0.44,0.47002,0.03002,0.48,0.45114,-0.02886,0.52,0.69294,0.17294,0.56,0.5016,-0.0584,0.6,0.77075,0.17075,0.56667,0.42514,-0.14152,0.53333,0.41091,-0.12243,0.5,0.39144,-0.10856,0.46667,0.48412,0.01745,0.43333,0.44076,0.00743
flat,contest-off,54,10357207705652096028,0.625,102,0,0,250,14,0.4,0.50858,0.10858,0.44,0.46492,0.02492,0.48,0.56736,0.08736,0.52,0.68047,0.16047,0.56,0.5524,-0.0076,0.6,0.72958,0.12958,0.56667,0.31863,-0.24804,0.53333,0.47096,-0.06237,0.5,0.38541,-0.11459,0.46667,0.37105,-0.09562,0.43333,0.61608,0.18275
flat,contest-off,55,7071506610999258451,0.83333,117,0,0,210,15,0.4,0.45468,0.05468,0.44,0.50529,0.06529,0.48,0.40894,-0.07106,0.52,0.44287,-0.07713,0.56,0.52834,-0.03167,0.6,0.62564,0.02564,0.56667,0.70005,0.13339,0.53333,0.59898,0.06565,0.5,0.60667,0.10667,0.46667,0.40509,-0.06158,0.43333,0.34565,-0.08769
flat,contest-off,56,13512331067886649696,0.79167,121,0,0,230,14,0.4,0.51026,0.11026,0.44,0.53187,0.09187,0.48,0.5314,0.0514,0.52,0.63241,0.11241,0.56,0.61535,0.05535,0.6,0.74355,0.14355,0.56667,0.47253,-0.09414,0.53333,0.36125,-0.17208,0.5,0.27926,-0.22074,0.46667,0.42987,-0.03679,0.43333,0.47463,0.0413
flat,contest-off,57,16941646477109203679,0.79167,210,0,0,225,12,0.4,0.46944,0.06944,0.44,0.55831,0.11831,0.48,0.64349,0.16349,0.52,0.5265,0.0065,0.56,0.54405,-0.01595,0.6,0.68455,0.08455,0.56667,0.37992,-0.18675,0.53333,0.40324,-0.1301,0.5,0.44104,-0.05896,0.46667,0.2827,-0.18397,0.43333,0.43768,0.00435
flat,contest-off,58,6933880559108014980,0.33333,89,0,0,197,12,0.4,0.5161,0.1161,0.44,0.47831,0.03831,0.48,0.42447,-0.05553,0.52,0.55602,0.03602,0.56,0.59724,0.03724,0.6,0.66371,0.06371,0.56667,0.66987,0.1032,0.53333,0.61138,0.07805,0.5,0.29807,-0.20193,0.46667,0.31328,-0.15339,0.43333,0.4338,0.00047
flat,contest-off,59,10891082319675129024,0.95833,74,0,0,219,14,0.4,0.41102,0.01102,0.44,0.45185,0.01185,0.48,0.51521,0.03521,0.52,0.57251,0.05251,0.56,0.55443,-0.00557,0.6,0.72376,0.12376,0.56667,0.58027,0.0136,0.53333,0.50982,-0.02351,0.5,0.555,0.055,0.46667,0.60626,0.13959,0.43333,0.33024,-0.1031
flat,contest-off,60,17447105584277883761,0.54167,147,0,0,190,12,0.4,0.41429,0.01429,0.44,0.5139,0.0739,0.48,0.56464,0.08464,0.52,0.58788,0.06788,0.56,0.56236,0.00236,0.6,0.62704,0.02704,0.56667,0.48098,-0.08569,0.53333,0.52166,-0.01168,0.5,0.48127,-0.01873,0.46667,0.29587,-0.1708,0.43333,0.45962,0.02629
flat,contest-off,61,7325188821460810512,0.70833,131,0,0,225,15,0.4,0.42914,0.02914,0.44,0.46936,0.02936,0.48,0.53288,0.05288,0.52,0.40588,-0.11412,0.56,0.5224,-0.0376,0.6,0.6595,0.0595,0.56667,0.4077,-0.15897,0.53333,0.39984,-0.13349,0.5,0.35506,-0.14494,0.46667,0.28968,-0.17699,0.43333,0.38739,-0.04594
flat,contest-off,62,10312855768016878754,0.95833,20,0,0,221,12,0.4,0.37538,-0.02462,0.44,0.4893,0.0493,0.48,0.52673,0.04673,0.52,0.5062,-0.0138,0.56,0.48864,-0.07136,0.6,0.62624,0.02624,0.56667,0.6087,0.04204,0.53333,0.50856,-0.02477,0.5,0.60213,0.10213,0.46667,0.49713,0.03047,0.43333,0.36297,-0.07036
flat,contest-off,63,7911256994806029931,0.875,149,0,0,238,15,0.4,0.52707,0.12707,0.44,0.57202,0.13202,0.48,0.5995,0.1195,0.52,0.62104,0.10104,0.56,0.59497,0.03497,0.6,0.77542,0.17542,0.56667,0.32594,-0.24072,0.53333,0.31213,-0.2212,0.5,0.46631,-0.03369,0.46667,0.45643,-0.01024,0.43333,0.44287,0.00953
flat,contest-off,64,11457166503508132515,0.5,32,0,0,203,13,0.4,0.44741,0.04741,0.44,0.6476,0.2076,0.48,0.56153,0.08153,0.52,0.60071,0.08071,0.56,0.4887,-0.0713,0.6,0.827,0.227,0.56667,0.4032,-0.16347,0.53333,0.24941,-0.28392,0.5,0.33716,-0.16284,0.46667,0.47177,0.00511,0.43333,0.47808,0.04474
flat,contest-off,65,9266365216645093684,0.91667,88,0,0,222,13,0.4,0.37738,-0.02262,0.44,0.34902,-0.09098,0.48,0.37344,-0.10656,0.52,0.43541,-0.08459,0.56,0.58989,0.02989,0.6,0.64324,0.04324,0.56667,0.49323,-0.07344,0.53333,0.61505,0.08172,0.5,0.61964,0.11964,0.46667,0.6222,0.15554,0.43333,0.34539,-0.08795
flat,contest-off,66,11133681307257924434,0.04167,3,0,0,190,9,0.4,0.28525,-0.11475,0.44,0.51878,0.07878,0.48,0.50229,0.02229,0.52,0.60454,0.08454,0.56,0.73439,0.17439,0.6,0.60532,0.00532,0.56667,0.76022,0.19355,0.53333,0.14834,-0.38499,0.5,0.38997,-0.11003,0.46667,0.17298,-0.29369,0.43333,0.44728,0.01395
flat,contest-off,67,16707482181230817887,0.70833,119,0,0,195,11,0.4,0.41982,0.01982,0.44,0.38265,-0.05735,0.48,0.34043,-0.13957,0.52,0.39886,-0.12114,0.56,0.47593,-0.08407,0.6,0.62337,0.02337,0.56667,0.33958,-0.22708,0.53333,0.57889,0.04555,0.5,0.63687,0.13687,0.46667,0.61282,0.14616,0.43333,0.7008,0.26746
flat,contest-off,68,4325729287362775962,0.91667,81,0,0,226,13,0.4,0.45064,0.05064,0.44,0.5883,0.1483,0.48,0.58551,0.10551,0.52,0.62649,0.10649,0.56,0.56489,0.00489,0.6,0.68145,0.08145,0.56667,0.3644,-0.20227,0.53333,0.43371,-0.09963,0.5,0.40739,-0.09261,0.46667,0.46511,-0.00155,0.43333,0.51773,0.08439
flat,contest-off,69,8577734940437920295,0.375,90,0,0,179,11,0.4,0.30322,-0.09678,0.44,0.41164,-0.02836,0.48,0.47978,-0.00022,0.52,0.4844,-0.0356,0.56,0.42902,-0.13098,0.6,0.62036,0.02036,0.56667,0.68685,0.12019,0.53333,0.66382,0.13049,0.5,0.53215,0.03215,0.46667,0.27366,-0.19301,0.43333,0.40625,-0.02708
flat,contest-off,70,18111700483963582645,0.5,119,0,0,190,12,0.4,0.37403,-0.02597,0.44,0.44015,0.00015,0.48,0.50904,0.02904,0.52,0.52134,0.00134,0.56,0.61921,0.05921,0.6,0.62516,0.02516,0.56667,0.73073,0.16406,0.53333,0.35709,-0.17625,0.5,0.40129,-0.09871,0.46667,0.41045,-0.05622,0.43333,0.46548,0.03214
flat,contest-off,71,16535977223211308355,0.45833,187,0,0,214,13,0.4,0.48011,0.08011,0.44,0.46765,0.02765,0.48,0.45306,-0.02694,0.52,0.54927,0.02927,0.56,0.53235,-0.02765,0.6,0.59133,-0.00867,0.56667,0.57495,0.00829,0.53333,0.59671,0.06338,0.5,0.28052,-0.21948,0.46667,0.43318,-0.03348,0.43333,0.39517,-0.03816
flat,contest-off,72,11442785149889717357,0.83333,183,0,0,235,14,0.4,0.50199,0.10199,0.44,0.43926,-0.00074,0.48,0.49329,0.01329,0.52,0.50495,-0.01505,0.56,0.55819,-0.00181,0.6,0.69671,0.09671,0.56667,0.37885,-0.18781,0.53333,0.50223,-0.0311,0.5,0.3762,-0.1238,0.46667,0.38044,-0.08623,0.43333,0.42675,-0.00658
